name,url
Professor Sondipon Adhikari,
Professor Sondipon Adhikari,http://www.swansea.ac.uk/staff/engineering/s.adhikari/
Professor Martin Bache,
Professor Martin Bache,http://www.swansea.ac.uk/staff/engineering/m.r.bache/
Professor Steve Brown,
Professor Steve Brown,https://www.swansea.ac.uk/staff/engineering/s.g.r.brown/
Professor Tim Claypole,
Professor Tim Claypole,http://www.swansea.ac.uk/staff/engineering/t.c.claypole/
Professor Mark Cross,
Professor Mark Cross,http://www.swansea.ac.uk/staff/engineering/m.cross/
Professor Davide Deganello,
Professor Davide Deganello,http://www.swansea.ac.uk/staff/engineering/d.deganello/
Professor Wulf Dettmer,
Professor Wulf Dettmer,http://www.swansea.ac.uk/staff/engineering/w.g.dettmer/
Professor James Durrant,
Professor James Durrant,http://www.swansea.ac.uk/staff/engineering/j.r.durrant/
Professor Michael G Edwards,
Professor Michael G Edwards,http://www.swansea.ac.uk/staff/engineering/m.g.edwards/
Professor Y T Feng,
Professor Y T Feng,http://www.swansea.ac.uk/staff/engineering/y.feng/
Professor Michael Friswell,
Professor Michael Friswell,http://www.swansea.ac.uk/staff/engineering/m.i.friswell/
Professor David T Gethin,
Professor David T Gethin,http://www.swansea.ac.uk/staff/engineering/d.t.gethin/
Professor Antonio J. Gil,
Professor Antonio J. Gil,http://www.swansea.ac.uk/staff/engineering/a.j.gil/
Professor Oubay Hassan,
Professor Oubay Hassan,http://www.swansea.ac.uk/staff/engineering/o.hassan/
Professor Stephen J Hardy - Professor Emeritus,
Professor Stephen J Hardy,http://www.swansea.ac.uk/staff/engineering/s.hardy/
Professor Nidal Hilal,
Professor Nidal Hilal,http://www.swansea.ac.uk/staff/engineering/n.hilal/
Professor Paul Holland,
Professor Paul Holland,https://www.swansea.ac.uk/staff/engineering/p.m.holland/
Professor Peter Holliman,
Professor Peter Holliman,http://www.swansea.ac.uk/staff/engineering/p.j.holliman/
Professor Stuart Irvine,
Professor Stuart Irvine,https://www.swansea.ac.uk/staff/engineering/s.irvine/
Professor Richard Johnston,
Professor Richard Johnston,http://www.swansea.ac.uk/staff/engineering/r.johnston/
Professor Karol Kalna,
Professor Karol Kalna,http://www.swansea.ac.uk/staff/engineering/k.kalna/
Professor Harshinie Karunarathna,
Professor Harshinie Karunarathna,http://www.swansea.ac.uk/staff/engineering/h.u.karunarathna/
Professor Robert Lancaster,
Professor Robert Lancaster,https://www.swansea.ac.uk/staff/engineering/r.j.lancaster/
Professor Nick Lavery ,
Professor Nick Lavery,https://www.swansea.ac.uk/staff/engineering/n.p.lavery/
Professor Arthur W Lees - Professor Emeritus,
Professor Arthur W Lees,http://www.swansea.ac.uk/staff/engineering/a.w.lees/
Professor Roland Lewis - Professor Emeritus,
Professor Roland Lewis,http://www.swansea.ac.uk/staff/engineering/r.w.lewis/
Professor Chenfeng Li,
Professor Chenfeng Li,http://www.swansea.ac.uk/staff/engineering/c.f.li/
Professor Lijie Li,
Professor Lijie Li,http://www.swansea.ac.uk/staff/engineering/l.li/
Professor Kelly Mackintosh,
Professor Kelly Mackintosh,/staff/engineering/mackintosh-k/
Professor Serena Margadonna,
Professor Serena Margadonna,http://www.swansea.ac.uk/staff/engineering/s.margadonna/
Professor Ian Masters,
Professor Ian Masters,http://www.swansea.ac.uk/staff/engineering/i.masters/
Professor Neil McMurray,
Professor Neil McMurray,http://www.swansea.ac.uk/staff/engineering/h.n.mcmurray/
Professor Jenny Nelson,
Professor Jenny Nelson,/staff/engineering/nelson-j/
Professor Amit Mehta,
Professor Amit Mehta,https://www.swansea.ac.uk/staff/engineering/a.mehta/
Professor Kenneth Morgan,
Professor Kenneth Morgan,http://www.swansea.ac.uk/staff/engineering/k.morgan/
Professor Jenny Nelson,
Professor Jenny Nelson,http://www.swansea.ac.uk/staff/engineering/j.nelson/
Professor EA de Souza Neto,
Professor EA de Souza Neto,http://www.swansea.ac.uk/staff/engineering/e.desouzaneto/
Professor Richard Palmer,
Professor Richard Palmer,/staff/engineering/palmer-r-e/
Professor David Penney,
Professor David Penney,http://www.swansea.ac.uk/staff/engineering/d.penney/
Professor Djordje Peric,
Professor Djordje Peric,http://www.swansea.ac.uk/staff/engineering/d.peric/
Professor Cameron Pleydell-Pearce,
Professor Cameron Pleydell-Pearce,http://www.swansea.ac.uk/staff/engineering/c.pleydell-pearce/
Professor Paul Rees,
Professor Paul Rees,http://www.swansea.ac.uk/staff/engineering/p.rees/
Professor Dominic Reeve,
Professor Dominic Reeve,http://www.swansea.ac.uk/staff/engineering/d.e.reeve/
Professor James Sullivan,
Professor James Sullivan,http://www.swansea.ac.uk/staff/engineering/j.h.sullivan/
Professor Huw Summers,
Professor Huw Summers,/staff/engineering/summers-h-d/
Professor Vincent Teng,
Professor Vincent Teng,http://www.swansea.ac.uk/staff/engineering/k.s.teng/
Professor Hywel R. Thomas,
Professor Hywel R. Thomas,/staff/engineering/thomas-h-r/
Professor Trystan Watson,
Professor Trystan Watson,http://www.swansea.ac.uk/staff/engineering/t.m.watson/
Professor Mark Whittaker,
Professor Mark Whittaker,http://www.swansea.ac.uk/staff/engineering/m.t.whittaker/
Professor Rhodri Williams,
Professor Rhodri Williams,http://www.swansea.ac.uk/staff/engineering/p.r.williams/
Professor David Worsley,
Professor David Worsley,http://www.swansea.ac.uk/staff/engineering/d.a.worsley/
